"name","mmsi","length","width","draught","shiptype","imo","direction","starttime"
"DFQI","211333700",68.0,12.0,3.700000047683716,"Tanker",9212345,"Hamburg","2017-03-19T00:03:04.0"
"DFQI","211333700",68.0,12.0,3.700000047683716,"Tanker",9212345,"Nordsee","2017-03-20T21:09:14.0"
"DGAW","218783000",120.0,21.0,6.800000190734863,"Dredger",9524152,"Hamburg","2017-03-17T05:55:26.0"
"DGAW","218783000",120.0,21.0,6.800000190734863,"Dredger",9524152,"Nordsee","2017-03-21T05:31:34.0"
"DIGW","211378370",278.0,40.0,11.399999618530273,"GeneralCargo",9200691,"Hamburg","2017-03-20T00:03:14.0"
"DIOD","211234480",101.0,18.0,5.300000190734863,"GeneralCargo",9126211,"Nordsee","2017-03-17T20:38:32.0"
"DLVD","211553630",23.0,6.0,1.600000023841858,"PortPoliceLawEnforce",0,"Nordsee","2017-03-23T07:07:50.0"
"FIVD","228067900",398.0,54.0,12.199999809265137,"GeneralCargo",9702156,"Nordsee","2017-03-19T05:50:42.0"
"FIVD","228067900",398.0,54.0,13.300000190734863,"GeneralCargo",9702156,"Hamburg","2017-03-17T00:01:24.0"
"FNOA","228020700",123.0,20.0,4.900000095367432,"GeneralCargo",9383558,"Hamburg","2017-03-18T00:37:30.0"
"FNUY","228315600",365.0,52.0,10.399999618530273,"GeneralCargo",9453559,"Hamburg","2017-03-21T00:02:03.0"
"FNUY","228315600",365.0,52.0,10.600000381469727,"GeneralCargo",9453559,"Hamburg","2017-03-21T14:56:23.0"
"FNUY","228315600",365.0,52.0,11.699999809265137,"GeneralCargo",9453559,"Nordsee","2017-03-23T08:56:25.0"
"H9VD","353764000",366.0,51.0,12.800000190734863,"GeneralCargo",9706748,"Hamburg","2017-03-20T00:06:17.0"
"H9VD","353764000",366.0,51.0,13.0,"GeneralCargo",9706748,"Nordsee","2017-03-21T18:48:17.0"
"HODU","353775000",512.0,64.0,8.399999618530273,"GeneralCargo",9226932,"Nordsee","2017-03-22T01:42:08.0"
"HOHA","354505000",294.0,32.0,9.100000381469727,"GeneralCargo",9181651,"Hamburg","2017-03-20T00:56:11.0"
"HOHA","354505000",294.0,32.0,9.5,"GeneralCargo",9181651,"Hamburg","2017-03-20T16:38:00.0"
"HOHA","354505000",294.0,32.0,10.899999618530273,"GeneralCargo",9181651,"Nordsee","2017-03-21T13:25:49.0"
"HPSB","354972000",304.0,40.0,9.199999809265137,"GeneralCargo",9275971,"Hamburg","2017-03-19T00:00:08.0"
"HPSB","354972000",304.0,40.0,10.100000381469727,"GeneralCargo",9275971,"Nordsee","2017-03-20T07:39:09.0"
"HPSB","354972000",304.0,40.0,10.5,"GeneralCargo",9275971,"Nordsee","2017-03-20T21:56:45.0"
"IBDK","247341900",236.0,36.0,8.399999618530273,"GeneralCargo",9680724,"Hamburg","2017-03-18T00:09:28.0"
"IBDK","247341900",236.0,36.0,9.100000381469727,"GeneralCargo",9680724,"Hamburg","2017-03-18T23:27:20.0"
"IBDX","247346000",131.0,20.0,6.0,"Tanker",9148582,"Nordsee","2017-03-20T16:03:43.0"
"IBGU","247353800",300.0,48.0,8.300000190734863,"Passenger",9636955,"Hamburg","2017-03-18T00:10:27.0"
"IBJV","247355500",118.0,19.0,6.599999904632568,"Tanker",9334430,"Hamburg","2017-03-18T00:03:14.0"
"IBJV","247355500",118.0,19.0,8.0,"Tanker",9334430,"Nordsee","2017-03-20T09:45:13.0"
"IBRF","247082500",214.0,32.0,8.0,"GeneralCargo",9246580,"Hamburg","2017-03-23T12:23:34.0"
"J8B3047","377764000",78.0,10.0,3.4000000953674316,"GeneralCargo",8402668,"Hamburg","2017-03-22T00:07:31.0"
"JNNB","431174000",198.0,32.0,8.199999809265137,"GeneralCargo",8913514,"Hamburg","2017-03-21T00:09:28.0"
